SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
