pid,Original_ID,SampleID,Sampling_Week,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage,Paired_Sample_Num,total_samples
T0111,S0111-08,MFS-363,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0066979589684088,2,2,2
T0114,S0114-01,MFS-364,1,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0103977996914201,4,1,4
T0114,S0114-04,MFS-873,4,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0104190784903912,4,2,4
T0115,S0115-01,MFS-575,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0070258746002519,2,1,2
T0115,S0115-07,MFS-576,7,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0075100198451301,2,2,2
T0116,S0116-01,MFS-577,1,2.2.1.1,2.2.1.1.1,"beijing,lam,mungi","lin2.2.1,pacific_RD150",,0.0522220060587532,2,1,2
T0116,S0116-06,MFS-578,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0062855197339129,2,2,2
T0117,S0117-01,MFS-579,1,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0065287211077765,4,1,2
T0117,S0117-05,MFS-580,5,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0069765521796565,4,2,2
T0118,S0118-01,MFS-366,1,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0070557360122184,4,1,2
T0118,S0118-05,MFS-367,5,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0075164356601482,4,2,2
T0119,S0119-01,MFS-581,1,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0081806620149176,4,1,2
T0119,S0119-08,MFS-582,8,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0070157535557114,4,2,2
T0121,S0121-01,MFS-584,1,4.7,4,,,4.10/PGG3,0.0060407189201282,4,1,2
T0121,S0121-08,MFS-585,8,4.7,4,,,4.10/PGG3,0.0061770581432026,4,2,2
T0122,S0122-01,MFS-586,1,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.006131442805135,4,1,2
T0122,S0122-08,MFS-587,8,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0070254564378333,4,2,2
T0123,123-01,MFS-60,1,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0073435873713426,4,1,2
T0123,123-07,MFS-61,7,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0068655598551991,4,2,2
T0125,S0125-01,MFS-588,1,4.1,4.1.i1.2.2,"xtype,microti,ethiopian",,4,0.0118556014386572,4,1,2
T0125,S0125-08,MFS-589,8,4.1,4.1.i1.2.2,"xtype,microti,ethiopian",,4,0.010206065318818,4,2,2
T0126,S0126-01,MFS-590,1,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0055131818935499,4,1,2
T0126,S0126-05,MFS-591,5,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0054102347744081,4,2,2
T0127,S0127-01,MFS-592,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0076575881490625,2,1,2
T0127,S0127-08,MFS-593,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0087122928941934,2,2,2
T0128,S0128-01,MFS-594,1,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0084896029230025,4,1,2
T0128,S0128-09,MFS-595,9,4.3.2.1,4.2.1.2.1.1.i1,"lam,canetti,beijing",,4.3/LAM,0.0080495067932253,4,2,2
T0130,130-01,MFS-62,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0068141063956963,2,1,2
T0130,130-07,MFS-63,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0080502867225408,2,2,2
T0131,131-01,MFS-64,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0074747554433575,2,1,2
T0131,131-09,MFS-65,9,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0088961414960256,2,2,2
T0132,S0132-01,MFS-743,1,4.4.1.1,4.2.1.2.2.1.1,"stype,indo_oceanic",,4,0.0072762766759838,4,1,2
T0132,S0132-08,MFS-744,8,4.4.1.1,4.2.1.2.2.1.1,"stype,indo_oceanic",,4,0.0073246522639834,4,2,2
T0133,S0133-01,MFS-597,1,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0070358140716281,4,1,2
T0133,S0133-07,MFS-598,7,4.8,4.2.1.1.1.1.1.1.i1,mungi,,4.10/PGG3,0.0103482587064676,4,2,2
T0135,135-01,MFS-66,1,2.2.1.1,2.2.1.1.1,"beijing,canetti,mungi","lin2.2.1,pacific_RD150",,0.008288220235847,2,1,2
T0135,135-06,MFS-67,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0086896929824561,2,2,2
T0136,S0136-01,MFS-369,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0087377304834418,2,1,2
T0136,S0136-07,MFS-599,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0074218457155708,2,2,2
T0140,140-01,MFS-68,1,4.3.4.1,4.2.1.2.1.1.i3.2,lam,,4.3/LAM,0.0144798852537395,4,1,2
T0140,140-04,MFS-69,4,4.3.4.1,4.2.1.2.1.1.i3.2,lam,,4.3/LAM,0.0120860240535576,4,2,2
T0143,143-01,MFS-72,1,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0073314734315188,4,1,2
T0143,143-07,MFS-73,7,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0075801411873625,4,2,2
T0144,S0144-01,MFS-370,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0076947026642352,2,1,2
T0144,S0144-06,MFS-371,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0080085761130029,2,2,2
T0146,S0146-01,MFS-747,1,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0085465958474167,4,1,2
T0146,S0146-06,MFS-748,6,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0101622772013833,4,2,2
T0149,S0149-01,MFS-604,1,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0066739606126914,4,1,3
T0149,S0149-05,MFS-605,5,4.1.1.1,4.1.i1.2.1,xtype,,4,0.0067067067067067,4,2,3
T0150,150-01,MFS-74,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0080942097658738,2,1,2
T0150,150-06,MFS-75,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0076583098376895,2,2,2
