covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,Indel
HIV_Low_CD4,0.3012537887407532,1.3515523067738153,0.1357965723308406,1.0112459483112224,0.4558406854835929,1,0.02652623039685101,2.7490240239681585,1.1250355352825279,6.717239453646483,Rv0029
fstrom1_baseline,-0.005777119846548995,0.9942395356213319,0.1778647757941676,-0.012385649618801512,0.3813268291169707,1,0.9740889428064244,0.9876907368488657,0.467772832744935,2.085484498816521,Rv0029
diabetes,0.22903033185684243,1.257380177106965,0.14425562055166063,1.0726897310166716,0.6756376832389456,1,0.11236096332475749,2.9232316419844464,0.7776056229284833,10.989225104259553,Rv0029
Indel_Sample1,-0.08877140942823862,0.9150547225510202,0.1995491771121028,-0.3612781818737041,0.8121169232953646,1,0.6564210667707251,0.6967851385085602,0.1418481580839184,3.422741160721751,Rv0029
underweight,0.2978917176800446,1.3470159219732991,0.19916292687542778,0.5975735424058488,0.3995226743990777,1,0.13472697040824513,1.8177028660951486,0.8307083483390739,3.9773811302325948,Rv1215c
screen_years,-0.010141092024108695,0.9899101554681333,0.19439653943999818,-0.0007946401044774283,0.015232608681926203,1,0.9583955955293547,0.9992056755383575,0.9698149445384491,1.029487107463812,Rv1215c
smoked_substance_use,0.16498819563836273,1.1793791968106744,0.2060731308880592,0.33702096116632974,0.4209450523034873,1,0.4233462575748903,1.4007684251707586,0.6138429404810458,3.1965052484234833,Rv1215c
F2,0.09903727774462168,1.1041074574275738,0.14093160316789521,0.1801461245023031,0.2563507671935335,1,0.48222220478342026,1.1973923186954818,0.7244865031364068,1.9789856107243382,Rv1215c
TTP_baseline,-0.08127301827532485,0.9219419500800147,0.22849033372219094,-0.22743442913489428,0.639407391477738,1,0.7220685014170487,0.7965746518741224,0.22748979747057033,2.7892731149425134,Rv1215c
smear_pos_no_contam_sputum_specimen_1,-0.18224368108266206,0.8333982322864038,0.21350799070718063,-0.4149558934589169,0.4861425017218058,1,0.39334415528075417,0.6603694066730207,0.25467229239081796,1.7123486390127625,Rv1215c
bl_prevtb,0.2642345611578582,1.3024336608219536,0.17339614819468402,0.546963493072762,0.3589286824794537,1,0.1275392107849109,1.7279979656110696,0.8551111678626432,3.4919167020347386,Rv1215c
