Original_ID	PacBio_FQ_PATH	Illumina_ID
S0229-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2013--bc2013.hifi_reads.fastq.gz	MFS-137
S0307-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2015--bc2015.hifi_reads.fastq.gz	MFS-258
S0313-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2016--bc2016.hifi_reads.fastq.gz	MFS-291
S0314-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2017--bc2017.hifi_reads.fastq.gz	MFS-292
S0072-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2018--bc2018.hifi_reads.fastq.gz	MFS-350
S0072-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2019--bc2019.hifi_reads.fastq.gz	MFS-351
S0087-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2020--bc2020.hifi_reads.fastq.gz	MFS-353
S0087-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2021--bc2021.hifi_reads.fastq.gz	MFS-354
S0272-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2022--bc2022.hifi_reads.fastq.gz	MFS-383
S0326-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2023--bc2023.hifi_reads.fastq.gz	MFS-390
S0330-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2024--bc2024.hifi_reads.fastq.gz	MFS-395
S0330-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2025--bc2025.hifi_reads.fastq.gz	MFS-396
S0377-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2026--bc2026.hifi_reads.fastq.gz	MFS-470
S0390-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2027--bc2027.hifi_reads.fastq.gz	MFS-482
S0391-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2028--bc2028.hifi_reads.fastq.gz	MFS-483
S0073-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2029--bc2029.hifi_reads.fastq.gz	MFS-557
S0110-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2030--bc2030.hifi_reads.fastq.gz	MFS-573
